PRICE,BEDS,BATH,PROPERTYSQ,LATITUDE,LONGITUDE,LOG-PRICE,LOG-PROPER,SUBLOCALIT,TYPE,BOROUGH,TYPE-GROUP,RESIDUALS,Y-HAT,geometry,RESIDUALS_SAR
1195000,3,3.0,995.0,40.8830898,-73.9165737,13.993656743347747,6.902742737158594,The Bronx,Co-op for sale,BRONX,CONDO_COOP,1.188959871567702,12.804696871780045,"POLYGON ((-73.91862414707981 40.885761849894315, -73.91731358663765 40.88567349546167, -73.9161947041408 40.8820616642441, -73.91861095386896 40.88353427751928, -73.91862414707981 40.885761849894315))",0.9726727317248411
295000,1,1.0,2184.207862,40.883124,-73.9164633,12.594730635321955,7.689008507244378,Bronx County,Co-op for sale,BRONX,CONDO_COOP,-0.367718941308461,12.962449576630416,"POLYGON ((-73.9161947041408 40.8820616642441, -73.91731358663765 40.88567349546167, -73.91698141444336 40.885658267449884, -73.91579917637908 40.884656237664665, -73.9155046514099 40.88359070685512, -73.91585362575005 40.88197699593913, -73.91600307560697 40.88193053312823, -73.9161947041408 40.8820616642441))",-0.8423615592855616
799000,3,2.0,2184.207862,40.638624,-73.911936,13.591116224748411,7.689008507244378,Kings County,Multi-family home for sale,BROOKLYN,MULTI_FAMILY,-0.294738607754081,13.885854832502492,"POLYGON ((-73.9167874544744 40.63632649487713, -73.91251090885733 40.64012046271573, -73.9124135503448 40.64003851334599, -73.91080798559068 40.63777552399065, -73.91385628842033 40.633348939335214, -73.91544313312362 40.63389375023756, -73.91669768976618 40.634575296896756, -73.9167874544744 40.63632649487713))",-0.049370207465758015
249000,1,1.0,850.0,40.8789773,-73.916004,12.425208175446844,6.745236349484364,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.002844405103051,12.422363770343795,"POLYGON ((-73.9167753612827 40.87882354394179, -73.91673636018729 40.879410535602275, -73.91603814045114 40.87986392787835, -73.91384039433592 40.87948010666644, -73.91346544096034 40.87813995720392, -73.91443018234555 40.8760648043025, -73.9167753612827 40.87882354394179))",-0.17036385943823756
349000,2,1.0,900.0,40.8802558,-73.9168342,12.762827201184564,6.802394763324312,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.307753790308375,12.455073410876189,"POLYGON ((-73.91773114205986 40.87998943142115, -73.91648364496939 40.88103142485943, -73.91603814045114 40.87986392787835, -73.91673636018729 40.879410535602275, -73.91773114205986 40.87998943142115))",0.11748108263100387
795000,4,2.0,1440.0,40.8767388,-73.911189,13.58609739363647,7.272398392570048,New York County,Townhouse for sale,MANHATTAN,HOUSE,-0.923927238559463,14.510024632195933,"POLYGON ((-73.91443018234555 40.8760648043025, -73.91346544096034 40.87813995720392, -73.90995830768637 40.878692430517624, -73.90884303372273 40.87844130870598, -73.90664813994037 40.8765036545085, -73.90668350426895 40.87600288346887, -73.90979495413934 40.872213333699555, -73.91075403233843 40.871851613611284, -73.91252349198052 40.873179549845226, -73.91446040559747 40.87508993361981, -73.91445298516562 40.87596565212028, -73.91443018234555 40.8760648043025))",0.5479045871086055
599888,1,1.0,826.0,40.7436341,-73.916415,13.304498250107226,6.716594773520978,Queens County,Condo for sale,QUEENS,CONDO_COOP,0.695864661751646,12.60863358835558,"POLYGON ((-73.91666080901514 40.74654611107083, -73.91501234011268 40.746384664273755, -73.91430698984512 40.74538443041118, -73.9137624944353 40.73984328784948, -73.91417355493564 40.73427147405836, -73.91444274547715 40.73380572582917, -73.92257592235481 40.74547689064633, -73.91666080901514 40.74654611107083))",0.4081007973545615
599999,3,2.0,1340.0,40.6677486,-73.9134481,13.304683267530228,7.200424892944958,Kings County,House for sale,BROOKLYN,HOUSE,-0.498309220839081,13.80299248836931,"POLYGON ((-73.91606863286124 40.665182089491076, -73.91510076552775 40.670391352595274, -73.91377172133652 40.67358945677929, -73.9082790460959 40.669433932616506, -73.91596503414686 40.6651193418542, -73.91606863286124 40.665182089491076))",-0.4481733024247106
1399995,6,5.0,2184.207862,40.6842265,-73.9145419,14.15197922315054,7.689008507244378,Kings County,Multi-family home for sale,BROOKLYN,MULTI_FAMILY,-0.172172664646141,14.324151887796681,"POLYGON ((-73.91714967115959 40.68486428788247, -73.9137150528215 40.68425289519765, -73.91595873409322 40.68286486321807, -73.91714967115959 40.68486428788247))",0.4102409892621154
1295000,3,1.0,2184.207862,40.7493551,-73.9158547,14.074021253115776,7.689008507244378,Queens County,House for sale,QUEENS,HOUSE,0.474992571590169,13.599028681525606,"POLYGON ((-73.91666080901514 40.74654611107083, -73.9166415721449 40.752939565053886, -73.91270895328846 40.75140896622922, -73.91242800025273 40.750306528339216, -73.91501234011268 40.746384664273755, -73.91666080901514 40.74654611107083))",0.5816683067366704
1150000,12,6.0,5508.0,40.755049,-73.9136386,13.955272500339431,8.613956859848546,Queens County,Multi-family home for sale,QUEENS,MULTI_FAMILY,-0.706828974710154,14.662101475049585,"POLYGON ((-73.91739899510988 40.75607434088343, -73.91306010827624 40.75663358946748, -73.91071917350116 40.754683705927775, -73.91084400609766 40.75362291021642, -73.91270895328846 40.75140896622922, -73.9166415721449 40.752939565053886, -73.91923461200267 40.754676766388705, -73.91739899510988 40.75607434088343))",-0.9409857689464293
1350000,3,5.0,3210.0,40.7432038,-73.9105824,14.115615150414612,8.074026216124063,Queens County,Multi-family home for sale,QUEENS,MULTI_FAMILY,-0.091405022018686,14.207020172433298,"POLYGON ((-73.9137624944353 40.73984328784948, -73.91019382050162 40.74521691630337, -73.90808896181265 40.739806169428455, -73.91417355493564 40.73427147405836, -73.9137624944353 40.73984328784948))",-0.16780824584198123
580000,6,3.0,2940.0,40.6609696,-73.9111929,13.270783382522602,7.986164860332728,Kings County,House for sale,BROOKLYN,HOUSE,-1.127957968606482,14.398741351129084,"POLYGON ((-73.91305473474594 40.65593929847095, -73.91404982005376 40.66226230249983, -73.91397477165317 40.66289766662591, -73.90662471012497 40.664712069544734, -73.90661316675096 40.66331507827117, -73.90766144272892 40.66055019521701, -73.9126868854566 40.65549356781105, -73.91305473474594 40.65593929847095))",-0.6256738707604423
1800000,9,7.0,2184.207862,40.7723063,-73.9110206,14.403297222866392,7.689008507244378,Queens County,Multi-family home for sale,QUEENS,MULTI_FAMILY,0.124410370058344,14.278886852808048,"POLYGON ((-73.91573301795398 40.772404987765746, -73.91339247442731 40.774973878196214, -73.90863963118831 40.77278799758559, -73.90787556782863 40.772253036655734, -73.91016746362314 40.76960377378525, -73.91269438175678 40.76851044927526, -73.91358191327124 40.769181188453075, -73.91573301795398 40.772404987765746))",-0.034927556012898986
600000,2,2.0,2184.207862,40.8855625,-73.9143965,13.304684934198283,7.689008507244378,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.196136339136471,13.108548595061812,"POLYGON ((-73.91698141444336 40.885658267449884, -73.91467926052823 40.88730262474284, -73.91333861256172 40.8858321666936, -73.91420435058939 40.88461729809141, -73.91579917637908 40.884656237664665, -73.91698141444336 40.885658267449884))",-0.008270792884001232
